GRAPH,TAG,ORTH,LEM
# état,,État,
allemand,,,Allemagne
Allemand,,,Allemagne
allemande,,,Allemagne
allemandes,,,Allemagne
Allemandes,,,Allemagne
allemands,,,Allemagne
Allemands,,,Allemagne
américain,,,États-Unis
américaine,,,États-Unis
américaines,,,États-Unis
américains,,,États-Unis
Amérique,,,États-Unis
anglais,,,Grande-Bretagne
anglaise,,,Grande-Bretagne
anglaises,,,Grande-Bretagne
Angleterre,,,Grande-Bretagne
B. de Jouvenel,NAMEpers,Jouvenel,
belge,,,Belgique
belges,,,Belgique
Belles-Lettres,NAMEtitle,Revue de Belles-Lettres,
Bertrand de Jouvenel,NAMEpers,Jouvenel,
Cec,NAMEorg,CEC,
centre européen de la culture,NAMEorg,CEC,
Centre européen de la culture,NAMEorg,CEC,
Club de Rome,NAMEorg,,
club de Rome,NAMEorg,Club de Rome,
Club des Jacobins,NAMEorg,,
club des Jacobins,NAMEorg,Club des Jacobins,
colonel de la Rocque,NAME,,
Communauté économique européenne,NAMEorg,CEE,
Communauté européenne,NAMEorg,,
Communauté européenne de défense,NAMEorg,CED,
Communauté européenne des guildes et clubs du livre,NAMEorg,,
Communauté européenne du charbon et de l’acier,NAMEorg,CECA,
communiste,,,communisme
communistes,,,communisme
Congrès de La Haye,NAMEevent,,
congrès de La Haye,NAMEevent,Congrès de La Haye,
Conseil de l’Europe,NAMEorg,,
conseil de l’Europe,NAMEorg,Conseil de l’Europe,
Conseil fédéral,NAMEorg,,
de la Rocque,NAME,colonel de la Rocque,
de Man,NAME,,
de man,NAME,de Man,
Édit,NAME,Édit de Nantes,
Édit de Nantes,NAMEevent,,
édit de Nantes,NAMEevent,Édit de Nantes,
Espagnol,,,Espagne
espagnol,,,Espagne
espagnole,,,Espagne
espagnoles,,,Espagne
Espagnols,,,Espagne
espagnols,,,Espagne
Europæ,NAME,Europe,
Europe,NAMEorg,,
Europé,NAME,Europe,
européen,,,Europe
européenne,,,Europe
européennes,,,Europe
européens,,,Europe
fascismes,,,fascisme
fasciste,,,fascisme
fascistes,,,fascisme
fédéraliste,,,fédéralisme
fédéralistes,,,fédéralisme
Français,,,France
français,,,France
Française,,,France
française,,,France
Françaises,,,France
françaises,,,France
Front national,NAMEorg,,
Front populaire,NAMEorg,,
G. de Reynold,NAMEpers,Reynold,
Gonzague de Reynold,NAMEpers,Reynold,
Guillaume d’Orange,NAMEpers,,
hegelien,,,Hegel
hégélien,,,Hegel
hegeliens,,,Hegel
Hic et Nunc,NAMEtitle,,
Hic et nunc,,,Hic et Nunc
hollandais,,,Pays-Bas
hollandaise,,,Pays-Bas
hollandaises,,,Pays-Bas
Illich,NAME,Ivan Illich,
instruction publique,SUB,,
italien,,,Italie
italienne,,,Italie
italiennes,,,Italie
italiens,,,Italie
Karl Marx,NAME,Marx,
l’O.N.,NAMEtitle,L’Ordre nouveau,
l’Ordre nouveau,NAMEtitle,L’Ordre nouveau,
l’ordre nouveau,NAMEtitle,L’Ordre nouveau,
L’Ordre nouveau,NAMEtitle,L’Ordre nouveau,
L’ordre nouveau,NAMEtitle,L’Ordre nouveau,
le mien,,,je
le nôtre,,,nous
le tien,,,tu
le vôtre,,,vous
les miens,,,je
les Nations unies,NAMEorg,ONU,
les nôtres,,,nous
les tiens,,,tu
les vôtres,,,vous
ma,,,je
Marché commun,NAMEorg,,
marché commun,NAMEorg,Marché commun,
marxisme,,,Marx
marxisme,,,Marx
marxiste,,,Marx
marxistes,,,Marx
me,,,je
mes,,,je
Messageries,NAMEorg,,
Middle West,NAMEplace,,
mien,,,je
moi,,,je
mon,,,je
Nations unies,NAMEorg,ONU,
New Deal,NAME,,
New Jersey,NAMEtitle,,
New Scientist,NAMEtitle,,
New Yorker,NAMEtitle,,
Nicolas de Flue,NAMEpers,,
nos,,,nous
notre,,,nous
nôtre,,,nous
Nrf,NAMEtitle,NRF,
nrf,NAMEtitle,NRF,
NRF,NAMEtitle,,
O.N.,NAMEtitle,L’Ordre nouveau,
Opinion Publique,SUB,opinion publique,
opinion Publique,SUB,,
ordre nouveau,NAMEtitle,L’Ordre nouveau,
penser avec les mains,NAMEtitle,Penser avec les mains,
Penser avec les mains,NAMEtitle,,
personnaliste,,,personnalisme
personnalistes,,,personnalisme
personne,SUB,,
Révolution française,NAMEevent,,
Revue de Belles-Lettres,NAMEtitle,,
russe,,,Russie
Russe,,,Russie
russes,,,Russie
Russes,,,Russie
stato-national,SUB,stato-national,
stato-nationale,SUB,stato-national,
stato-nationales,SUB,stato-national,
stato-nationalisme,SUB,stato-national,
stato-nationalismes,SUB,stato-national,
stato-nationaliste,SUB,stato-national,
stato-nationalistes,SUB,stato-national,
stato-nationaux,SUB,stato-national,
suisse,,,Suisse
Suisse romande,NAME,,
suisses,,,Suisse
Suisses,,,Suisse
Suisses,,,Suisse
ta,,,tu
te,,,tu
Tell,NAMEpers,Guillaume Tell,
tes,,,tu
tien,,,tu
toi,,,tu
ton,,,tu
tu,,,tu
vos,,,vous
votre,,,vous
vôtre,,,vous
